employee_id,affidability,vehicle_id,card_id
U_000,0.3536321132378365,U_002,U_000
U_001,0.580689054437327,U_007,U_001
U_002,0.5532943241933614,U_007,U_002
U_003,0.9749767851960366,U_011,U_003
U_004,0.9921160883386869,U_018,U_004
U_005,0.012280099297604208,U_014,U_005
U_006,0.22304162731352795,U_010,U_006
U_007,0.8945606307370993,U_000,U_007
U_008,0.9605037063484321,U_009,U_008
U_009,0.24061392470019372,U_012,U_009
U_010,0.8558926882413053,U_001,U_010
U_011,0.2819698198134464,U_007,U_011
U_012,0.6838722055226985,U_014,U_012
U_013,0.40858428965792004,U_019,U_013
U_014,0.6157862171834251,U_018,U_014
U_015,0.32471242680855605,U_003,U_015
U_016,0.8362591932974193,U_009,U_016
U_017,0.6990502497669733,U_009,U_017
U_018,0.4997903613434752,U_006,U_018
U_019,0.5676391782188548,U_001,U_019
